ID,Ten,Mon1,Mon2,Mon3,TongDiem,NV1,NV2
1,LÊ THỊ THÙY LINH,9.25,7.5,9.75,26.5,4,5
2,VŨ VIỆT HÀ,7.25,7.5,7.75,22.5,1,2
3,NGUYỄN THỊ THANH HẢI,9.25,9.5,7.75,26.5,4,5
4,PHẠM HẢI YẾN,9.25,7.5,9.75,26.5,3,4
5,LA THỊ HẢO,8.25,6.5,8.75,23.5,1,2
6,NGUYỄN THỊ PHƯƠNG THẢO,6.25,7.5,9.75,23.5,2,3
7,NGUYỄN VŨ HÀ TRANG,7.25,7.5,7.75,22.5,1,2
8,BÙI THỊ HIỀN,7.25,6.5,9.75,23.5,2,3
9,NGUYỄN HÀ PHƯƠNG,7.25,6.5,6.75,20.5,1,2
10,NGUYỄN THỊ MINH PHƯƠNG,8.25,8.5,8.75,25.5,2,3
11,NGUYỄN THỊ THANH,9.25,8.5,8.75,26.5,4,5
12,NGUYỄN THỊ QUYÊN,8.25,8.5,8.75,25.5,2,3
13,NGUYỄN THỊ THÙY ANH,8.25,9.5,9.75,27.5,3,4
14,PHẠM THANH MAI,8.25,8.5,6.75,23.5,1,2
15,VÕ THỊ LỆ,6.25,7.5,8.75,22.5,4,5
16,TRẦN HÀ MY,6.25,9.5,9.75,25.5,2,3
17,NGUYỄN THỤC LINH,9.25,9.5,6.75,25.5,2,3
18,ĐỖ MẠNH HÙNG,9.25,8.5,7.75,25.5,1,2
19,ĐỖ ĐỨC ĐẠT,7.25,8.5,6.75,22.5,1,2
20,TRẦN THỊ HÀ MY,6.25,8.5,9.75,24.5,5,6
21,VŨ THỊ HƯƠNG,8.25,9.5,8.75,26.5,3,4
22,PHẠM MINH NGỌC,9.25,6.5,7.75,23.5,3,4
23,VŨ THỊ THẮM,6.25,8.5,6.75,21.5,3,4
24,ĐẶNG THU NGA,8.25,8.5,9.75,26.5,2,3
25,NGÔ TUẤN VINH,9.25,7.5,8.75,25.5,3,4
26,NGUYỄN THỊ LAN HƯƠNG,6.25,6.5,8.75,21.5,2,3
27,VŨ NAM GIANG,9.25,9.5,7.75,26.5,1,2
28,ĐẶNG QUANG HƯNG,9.25,7.5,6.75,23.5,3,4
29,NGUYỄN THỊ THÙY LINH,6.25,7.5,6.75,20.5,2,3
30,HOÀNG CHÂU ANH,6.25,7.5,7.75,21.5,4,5
31,NGUYỄN VĂN LONG,9.25,8.5,7.75,25.5,5,6
32,LÊ MINH HOÀNG,6.25,7.5,7.75,21.5,2,3
33,NGUYỄN THỊ BÍCH THẢO,7.25,7.5,8.75,23.5,5,6
34,PHẠM THANH THỦY,8.25,9.5,9.75,27.5,2,3
35,PHAN TUẤN DŨNG,9.25,7.5,7.75,24.5,5,6
36,NGUYỄN THỊ THU HOÀI,6.25,9.5,8.75,24.5,1,2
37,LÊ DIỆP LINH,9.25,9.5,9.75,28.5,3,4
38,NGÔ HẰNG NGA,7.25,8.5,6.75,22.5,1,2
39,LÊ THỊ DIỆU LINH,9.25,6.5,6.75,22.5,4,5
40,ĐẶNG THỊ THỦY TIÊN,8.25,8.5,9.75,26.5,4,5
41,NGÔ TIẾN ĐẠT,7.25,6.5,7.75,21.5,3,4
